Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
30-03-2025,08:27:18,CNR8487867570,Cancelled by Driver,CUST155269,Prime Sedan,Marathahalli,Whitefield,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Credit Card,0,0,0
02-03-2025,03:18:27,CNR8378991295,Success,CUST318918,Prime Plus,Basaveshwaranagar,BTM Layout,7,15,0,Not Applicable,0,Not Applicable,0,Not Applicable,1131,Cash,4.84,3.7,3.3
15-03-2025,01:26:00,CNR9225338441,Success,CUST258034,Mini,Hosur Road,Whitefield,3,17,0,Not Applicable,0,Not Applicable,0,Not Applicable,602,Credit Card,11.64,3.8,4.7
01-03-2025,23:21:19,CNR2910890309,Success,CUST129621,Auto,Frazer Town,Bommanahalli,8,14,0,Not Applicable,0,Not Applicable,0,Not Applicable,988,Net Banking,16.32,4,4.2
07-03-2025,04:30:25,CNR5457743559,Cancelled by Driver,CUST942033,eBike,Richmond Town,Basaveshwaranagar,0,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,0,Cash,0,0,0
01-03-2025,23:16:52,CNR7589954227,Incomplete,CUST502722,Auto,Nagavara,Bellandur,0,0,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,0,Net Banking,0,0,0
27-03-2025,21:40:29,CNR8929472559,Success,CUST125464,Bike,Koramangala,Kumaraswamy Layout,5,19,0,Not Applicable,0,Not Applicable,0,Not Applicable,490,UPI,13.49,3.9,4.9
09-03-2025,15:22:00,CNR4333030236,Success,CUST650681,Bike,Majestic,KR Market,2,12,0,Not Applicable,0,Not Applicable,0,Not Applicable,515,Credit Card,6.73,3.5,3.1
22-03-2025,08:07:27,CNR6365916352,Incomplete,CUST515104,Auto,Domlur,BTM Layout,0,0,0,Not Applicable,0,Not Applicable,1,Customer Demand,0,Cash,0,0,0
06-03-2025,02:13:33,CNR2662022380,Cancelled by Driver,CUST601919,Prime Sedan,Ulsoor,Banaswadi,0,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,0,Credit Card,0,0,0
